buy_threshold,sell_threshold,sl_atr_mult,tp_atr_mult,trades,win_rate,profit_factor,net_profit,final_balance
0.45,0.4,0.8,2.5,384,0.5833333333333334,2.1045628002130496,2881.4543571428676,3881.4543571428676
0.4,0.35,0.8,1.5,509,0.6031434184675835,1.9272179352057845,2879.0641428571503,3879.0641428571503
0.5,0.4,1.2,2.0,334,0.6347305389221557,2.318940172081622,2878.1742857142963,3878.1742857142963
0.4,0.3,0.8,1.5,539,0.5862708719851577,1.8414754376278928,2873.2005714285797,3873.2005714285797
0.45,0.35,1.2,1.0,441,0.6870748299319728,2.1618001971927634,2871.4452857142896,3871.4452857142896
0.4,0.4,1.0,1.0,465,0.6473118279569893,2.057921603583416,2869.60857142857,3869.60857142857
0.4,0.45,1.5,2.5,365,0.6410958904109589,2.205288149041307,2868.8767857142957,3868.8767857142957
0.4,0.3,1.0,1.0,537,0.6443202979515829,1.8770237282500555,2856.4907142857146,3856.4907142857146
0.35,0.4,1.5,1.0,476,0.6617647058823529,1.982089192673922,2853.6249999999964,3853.6249999999964
0.35,0.45,1.2,2.5,402,0.6094527363184079,2.0142940227079733,2844.7182857142943,3844.7182857142943
0.4,0.45,1.2,2.0,377,0.6286472148541115,2.199107842677431,2834.1880000000046,3834.1880000000046
0.5,0.3,1.5,1.5,395,0.6708860759493671,2.136914881998182,2832.9182142857244,3832.9182142857244
0.5,0.35,1.2,1.5,380,0.6657894736842105,2.255262744838304,2826.4629285714423,3826.4629285714423
0.35,0.3,0.8,1.5,573,0.568935427574171,1.7317283491381428,2819.714357142863,3819.714357142863
0.35,0.35,0.8,1.5,549,0.5828779599271403,1.7877191029030173,2816.686357142861,3816.686357142861
0.45,0.3,1.5,1.0,450,0.6977777777777778,2.0656715925632914,2815.596071428576,3815.596071428576
0.45,0.4,1.5,1.5,372,0.6559139784946236,2.2183002143080643,2814.792142857149,3814.792142857149
0.45,0.4,0.8,2.0,391,0.5882352941176471,2.0843075731429215,2806.162285714291,3806.162285714291
0.5,0.3,1.2,1.5,401,0.655860349127182,2.115591006068333,2803.745071428582,3803.745071428582
0.5,0.35,1.5,1.5,373,0.67828418230563,2.25904612412501,2798.216071428587,3798.216071428587
0.45,0.4,1.0,1.5,383,0.6318537859007833,2.151469785929551,2785.97785714287,3785.97785714287
0.45,0.3,1.2,1.0,461,0.6811279826464208,2.0210011024905237,2782.491714285719,3782.491714285719
0.5,0.4,0.8,2.5,344,0.5959302325581395,2.1900470471805207,2782.2065714285873,3782.2065714285873
0.5,0.4,1.0,2.0,336,0.6279761904761905,2.220048420614293,2774.896428571445,3774.896428571445
0.5,0.35,0.8,2.0,392,0.6096938775510204,2.1133686308064363,2769.7271428571603,3769.7271428571603
0.4,0.45,1.0,2.0,386,0.6113989637305699,2.121066605556414,2767.471428571442,3767.471428571442
0.45,0.35,1.0,1.0,448,0.6651785714285714,2.0562733578109103,2759.717857142863,3759.717857142863
0.5,0.3,1.0,2.0,405,0.6222222222222222,1.9845093385457524,2754.0207142857334,3754.0207142857334
0.35,0.35,1.0,1.0,553,0.6311030741410488,1.781859170574338,2739.1157142857155,3739.1157142857155
0.4,0.4,0.8,1.5,457,0.5886214442013129,1.9510552539095678,2733.1012857142914,3733.1012857142914
0.45,0.4,1.5,1.0,387,0.689922480620155,2.2153042456278125,2722.5189285714278,3722.5189285714278
0.4,0.45,0.8,2.0,396,0.5757575757575758,2.069894323697988,2717.524857142858,3717.524857142858
0.45,0.4,1.2,1.0,397,0.672544080604534,2.1703158347497356,2716.22514285714,3716.22514285714
0.35,0.4,0.8,1.5,501,0.5688622754491018,1.8066353232565737,2692.683071428575,3692.683071428575
0.35,0.3,1.0,1.0,575,0.6226086956521739,1.7145532276066682,2681.9964285714277,3681.9964285714277
0.4,0.45,1.0,2.5,382,0.6047120418848168,2.046182528086997,2677.5285714285883,3677.5285714285883
0.45,0.4,1.0,1.0,402,0.6567164179104478,2.116428780682466,2675.8078571428596,3675.8078571428596
0.35,0.45,0.8,2.0,435,0.5563218390804597,1.8944243085587058,2673.4848571428574,3673.4848571428574
0.35,0.45,1.0,2.0,421,0.5890736342042755,1.899489681381112,2670.2192857142954,3670.2192857142954
0.4,0.35,0.8,1.0,535,0.6205607476635514,1.8297194741050808,2663.0797142857164,3663.0797142857164
0.35,0.4,1.0,1.0,506,0.6205533596837944,1.8184350223149905,2655.1142857142836,3655.1142857142836
0.35,0.45,1.5,1.5,405,0.6345679012345679,1.996859352036716,2648.7499999999995,3648.7499999999995
0.5,0.3,0.8,2.0,424,0.5849056603773585,1.9347501747682203,2647.5142857143037,3647.5142857143037
0.4,0.45,1.2,2.5,373,0.6193029490616622,2.0639599355130778,2642.6439285714378,3642.6439285714378
0.45,0.3,1.0,1.0,474,0.6497890295358649,1.9023687483975433,2642.115714285719,3642.115714285719
0.4,0.45,1.0,1.5,394,0.6192893401015228,2.079122183027168,2640.6775000000134,3640.6775000000134
0.45,0.35,0.8,1.5,449,0.6080178173719376,1.9415534471211837,2636.6627857142967,3636.6627857142967
0.45,0.3,0.8,1.5,480,0.5875,1.8419073477369767,2619.251214285726,3619.251214285726
0.45,0.45,1.5,2.5,312,0.6506410256410257,2.2649183933803045,2618.1764285714416,3618.1764285714416
